id,tool,token,lemma,assigned_pos,context,absolute_freq,pos_correct,correct_pos,lemma_correct,correct_lemma
1,UDPipe,jednali,jednat,VERB,"Tyto praktiky zacházení se zvířaty vedou aktivisty k tomu, aby jednali s politiky nejen o zpřísnění legislativy, ale také o zakotvení ochrany zvířat do Ústavy.",660,yes,,yes,
2,UDPipe,kontrole,kontrola,NOUN,"Policisté chtěli zastavit řidiče porshe k namátkové silniční kontrole, řidič byl ale proti a začal policistům ujíždět.",1625,yes,,yes,
3,UDPipe,by,být,AUX,Rovné čtyři pětiny by s takovým systémem ale nesouhlasily.,365381,yes,,yes,
4,UDPipe,pøesto,pøesto,CCONJ,"Je to zjevná reakce na malou úèinnost strategie Antibabiš, které se pøesto vládní koalice ne a ne zbavit.",119,yes,,yes,
5,Stanza,Marvina,Marvina,PROPN,"Prvním krokem k uvědomění si vlastní identity tak pro Marvina bylo psaní, kterému se věnoval už v dětství.",25,yes,,no,Marvin
6,UDPipe,oživující,oživující,ADJ,"Chválí také ""vizionářský"" projekt Musica non grata, oživující umělecký odkaz perzekvovaných skladatelů důležitých v meziválečném Československu.",21,yes,,yes,
7,Stanza,velký,velký,ADJ,"Je to dobrý fotbalista, sedí do mého projektu, má rozum, je to velký profesionál a bylo možné jej koupit.",13685,yes,,yes,
8,Stanza,",",",",PUNCT,"Je hodně vidět směrem k veřejnosti, a taky má požívat odpovědnost, podle které by měl být důležitým partnerem pro management v klíčových otázkách týkajících se dalšího směřování oddílu.",5010036,yes,,yes,
9,Stanza,pokročilejšímu,pokročilý,ADJ,"Ten má poprvé u iPhonu rozlišení 48 Mpx, což ve zkratce znamená lepší detaily a díky většímu snímači a pokročilejšímu zpracování fotografie i lepší fotky za horšího světla.",7,yes,,yes,
10,Stanza,Extremadura,Extremadura,PROPN,"Například v březnu úřady ve španělském regionu Extremadura stáhly z trhu 11 značek, které byly smíchány s jinými oleji a nebyly vhodné ke spotřebě.",7,yes,,yes,
11,UDPipe,Karel,Karel,PROPN,V roce 1517 přijel nový král Kastilie a Aragonu Karel z Nizozemí do Kastilie.,7598,yes,,yes,
12,Stanza,se,se,PRON,"Nedozvědí se jen to, na co se zeptají.",1582494,yes,,yes,
13,Stanza,do,do,ADP,Proč se pustili právě do tlačení auta?,478244,yes,,yes,
14,Stanza,roztoči,roztoč,NOUN,"Předchůdci klíšťat byli predátoři, roztoči, kteří lovili.",27,yes,,yes,
15,UDPipe,ždímání,ždímání,NOUN,"Jistě, ždímání státu a jeho zdanitelných občanů nelze provádět donekonečna.",14,yes,,yes,
16,Stanza,ohodnotil,ohodnotit,VERB,"V tomto divadle umělecky vyspěl, brněnské publikum so ho rychle oblíbilo a muzikolog a kritik Jiří Fukač jednou ohodnotil „pěvcovu ušlechtilou hravost a lidovou bodrost“.",125,yes,,yes,
17,UDPipe,výtvarných,výtvarný,ADJ,V srpnu téhož roku ve stejné budově vznikla galérie výtvarných prací.,609,yes,,yes,
18,UDPipe,1725,1725,NUM,Mladší větev rodu založil Pavlův mladší syn Ferdinand Matyáš († 1725).,85,yes,,yes,
19,UDPipe,nečekalo,čekat,VERB,"Myslím si, že moc lidí nečekalo, že bychom mohli být tak blízko postupu do semifinále NHL,"" řekl kouč Vancouveru Travis Green.",83,yes,,yes,
20,Stanza,.,.,PUNCT,"Ale to jsou přesně věci, které si říkáme a pilujeme každý den na Strahově, ty jednotlivé detaily, v nichž se snažíme být lepší.",5115125,yes,,yes,
21,Stanza,dluhová,dluhový,ADJ,"Výsledkem je dluhová past, ze které se sami bez pomoci okolí nedostanou,"" řekla ČTK výkonná ředitelka Fincollectu Anežka Pavlíková.",36,yes,,yes,
22,Stanza,Theodoricha,Theodorich,PROPN,"Unikátním nálezem jsou dvě stříbrné mince ostrogótských králů Theodoricha Velikého a Athalaricha z první poloviny 6. století, které se do té doby na našem území nenašly.",4,yes,,yes,
23,UDPipe,vyzbrojit,vyzbrojit,VERB,"Rusové je ale také potřebují vyzbrojit, poskytnout jim techniku.",51,yes,,yes,
24,Stanza,navrhují,navrhovat,VERB,"Německo a Francie navrhují vytvoření evropského programu v rozsahu 500 miliard eur (13,8 bilionu korun) na hospodářskou obnovu po krizi způsobené koronavirem.",353,yes,,yes,
25,Stanza,vojančina,vojančina,NOUN,"A pokud ne, byl již dříve tak zlostný a prchlivý, že se mu ve vsi říkalo „divoký Vašek“, a vojna jej nepochybně zdrženlivosti nenaučila (č. 4 – kvartet Ta vojančina proklatá je věc).",1,yes,,yes,
26,Stanza,zásilka,zásilka,NOUN,"Adresát výjimečně v tomto případě uvede při žádosti o dosílku (e-mail, telefon) nejenom novou adresu, ale také označení 'nového' adresáta, kterému má být zásilka na nové adrese dodána,"" doplňuje pošta.",129,yes,,yes,
27,Stanza,Kučerová,Kučerová,PROPN,"Zvlášť vyšetření bývá komplikované,“ řekla Miloslava Kučerová z tiskového oddělení Krajské zdravotní nemocnice Ústeckého kraje.",103,yes,,yes,
28,UDPipe,plněného,plněný,ADJ,Subjekt řízení obvykle využívá k zjištění stavu plněného procesu informační systém.,4,yes,,yes,
29,UDPipe,postupu,postup,NOUN,"Ještě před akcí zveřejnili Výzvu za svobodné sousedství určenou vládám zemí ve střední Evropě, aby jednaly o jednotném postupu a opatřeních vedoucích k urychlenému otevření hranic i pro běžné občany.",3838,yes,,yes,
30,UDPipe,propagován,propagovaný,ADJ,"Autor populárního singlu „Hook“ z Marylandu vydal v roce 2021 album s názvem „Rookie of the Year“ a byl považován za součást rapového žánru DMV, regionálního stylu plného tradičních rytmických nástrojů, který byl propagován v DC, Marylandu a Virginii.",21,yes,,yes,
31,UDPipe,Získání,získání,NOUN,Získání územního rozhodnutí očekává develeper v prvním pololetí letošního roku.,55,yes,,yes,
32,UDPipe,vjemu,vjem,NOUN,Víceméně je tato diskuze o subjektivním vjemu chuti a preferencí.,16,yes,,yes,
33,Stanza,posmrtný,posmrtný,ADJ,Naposled tak mohl Estelle poděkovat a popřát jí krásný posmrtný život.,42,yes,,yes,
34,Stanza,pistáciovému,pistáciový,ADJ,"Nyní díky spolupráci s Ondřejem Hniličkou z pražského Hemingway Baru rozšiřuje svou nabídku o trojici RTD (ready to go) koktejlů v lahvičkách napárovaných k máslovému, čokoládovému a pistáciovému věnečku.",1,yes,,yes,
35,UDPipe,.,.,PUNCT,"Čtyři z deseti uprchlíků navíc tvrdí, že dostávají na stejné pracovní pozici nižší plat než Češi.",5101671,yes,,yes,
36,UDPipe,.,.,PUNCT,"Není to nic určujícího, z čeho by šlo něco usuzovat na stav celé ruské společnosti.",5101671,yes,,yes,
37,Stanza,Emericha,Emeri,PROPN,"Odpoledne 4. srpna 1863 na Sezimově náměstí v domě Emericha Lachenbauera Prchal, Jan.",14,yes,,no,Emerich
38,UDPipe,Stvořitelé,stvořitel,NOUN,Na konci příběhu Stvořitelé mýtů se Vicki rozhodne opustit TARDIS a zůstat s Troiluem.,2,yes,,yes,
39,Stanza,Kubu,Kuba,PROPN,Na Kubu se jezdí spíše za plážemi než kulinárním obžerstvím.,193,yes,,yes,
40,Stanza,Západě,západ,NOUN,"Soudí se, že nejzkušenější vojáci nyní na Západě prochází intenzivním výcvikem na moderních tancích a obrněncích, aby Ukrajina mohla do konce léta osvobodit další kusy území.",765,yes,,yes,
41,Stanza,Erenburg,Erenburg,PROPN,"Další překlady (Zorin, Erenburg, Prišvin) publikoval mezi lety 1985 a 1988 ve Svobodném slově.",1,yes,,yes,
42,UDPipe,které,který,DET,"Denacifikace Ukrajiny znamená zrušení všech zákonů, které diskriminují rusky mluvící obyvatelstvo.",196883,yes,,yes,
43,Stanza,angličtina,angličtina,NOUN,"Zavedení elektronických systémů do spisové služby si vyžádalo vyrovnání s terminologickými rozdíly anglosaského světa (vzhledem k tomu, že angličtina je hlavní jazyk informatiky).",177,yes,,yes,
44,Stanza,a,a,CCONJ,Brusca se tak stal jedním z bossů a jeho první příkaz mířil k potrestání Di Mattea za jeho zradu.,1804551,yes,,yes,
45,UDPipe,vzpomněli,vzpomenout,VERB,"Aby si třeba vzpomněli, jak zvládali katastrofální povodně.",77,yes,,yes,
46,Stanza,ve,v,ADP,"Koncert byl koncipován jako oslava kulturní rozmanitosti, ve které mezikulturní dialog přispívá k větší empatii a porozumění ve společnosti.",346104,yes,,yes,
47,UDPipe,Londýnu,Londýn,PROPN,Rada se rozhodla vyrazit k Londýnu.,36,yes,,yes,
48,Stanza,Veletržním,veletržní,ADJ,Stejným poměrem Sparta padla na hřišti Leedsu v prosinci 1970 v dnes již neexistujícím Veletržním poháru.,73,yes,,yes,
49,Stanza,protokolu,protokol,NOUN,"Uvedl, že je připraven maximálně vyjít vstříc svému nástupci v čele protokolu po nástupu nového prezidenta Pavla.",602,yes,,yes,
50,UDPipe,Janečka,Janeček,PROPN,"Ministerstvo vnitra Janečka nezaregistrovalo kvůli nedostatku uznaných občanských podporovatelů, se stížností poté neuspěl ani u Nejvyššího správního soudu.",158,yes,,yes,
51,UDPipe,Tysonovi,Tyson,PROPN,"Do ringu ho přivezlo zelenými plameny pomalované auto v doprovodu holubice, kterou daroval Miku Tysonovi, ale ten ji odmítl.",11,yes,,yes,
52,Stanza,Dodavatel,dodavatel,NOUN,Dodavatel jim zbývající částku zohlední v ročním vyúčtování jako přeplatek.,77,yes,,yes,
53,Stanza,osídlen,osídlený,ADJ,Těmito zajatci byl osídlen náš kraj.,46,yes,,yes,
54,Stanza,vzat,vzatý,ADJ,Berounští kriminalisté muže obvinili z obecného ohrožení a byl vzat do vazby.,108,yes,,yes,
55,Stanza,vabank,vabank,NOUN,Vláda se rozhodla hrát naprosto nadbytečně vabank a to i za cenu nebývalých podrazů.,44,yes,,yes,
56,Stanza,tureckých,turecký,ADJ,"Na celé věci je nejbizarnější to, že zadržený je potomkem tureckých rodičů, kteří se přistěhovali do Německa, a přitom jako motiv svého jednání uvádí nenávist k všemu tureckému.",381,yes,,yes,
57,UDPipe,nádivku,nádivka,NOUN,"Na nádivku: 20 dkg kuřecích jater, 2 větší vejce, 3 žemle, lžíce másla, smetana na namočení žemlí (nebo plnotučné mléko), sůl, muškátový květ, lžíce nasekané petrželky, lžíce spařených nasekaných mladých kopřiv.",7,yes,,yes,
58,UDPipe,Handžák,Handžák,PROPN,"Zpočátku se vyskytnou místy i srážky, které budou nad 300 m smíšené nebo sněhové,“ uvedl meteorolog Štefan Handžák.",13,yes,,yes,
59,Stanza,pořádnýho,pořádný,ADJ,Zatím se jí ani jedno jídlo nepovedlo bez pořádnýho karambolu.,5,yes,,yes,
60,Stanza,Marku,Marka,PROPN,"Požadavek, aby česká vláda odstoupila od Zelené dohody, je obsažen také v dopisu ministrovi zemědělství Marku Výbornému (KDU-ČSL), který mu farmáři dnes předali.",152,yes,,no,Marek
61,Stanza,Všechny,všechen,DET,Všechny tři tyto komunální politiky Moskva kritizuje kvůli jejich krokům.,5845,yes,,yes,
62,Stanza,Kubát,Kubát,PROPN,Obránce Karel Kubát měl rovněž patřit k tahounům.,75,yes,,yes,
63,Stanza,řadách,řada,NOUN,Prodloužení kontaktu se slovenským fotbalistou navíc může dát Spartě určitou jistotu v zadních řadách.,977,yes,,yes,
64,UDPipe,ujistit,ujistit,VERB,"Chtěli bychom posluchače ujistit, že na ně v této nelehké době myslíme a přejeme si, aby zůstali všichni zdraví,"" říká ředitel orchestru Jan Žemla.",251,yes,,yes,
65,UDPipe,Ygg,Ygg,PROPN,"Ygg (nebo též Yggr) je jedno z mnoha Ódinových jmen, které znamená „Strašný“.",2,yes,,yes,
66,Stanza,AIK,AIK,NOUN,"S velkým talentem Danielem Rusem úřadující ligový šampion nadále počítá, ostatně už v létě nastoupil do přípravného duelu s AIK Stockholm.",102,yes,,yes,
67,Stanza,Ioniq,Ioniq,PROPN,"Vyrábět se bude Ioniq 6 v jihokorejském Asanu, Ioniq 5 přitom vyjíždí ze závodu v Ulsanu.",107,yes,,yes,
68,Stanza,Súdán,Súdán,PROPN,"Súdán v půlce dubna zachvátily boje, ve kterých již podle oficiálních statistik zemřelo kolem 600 osob a dalších necelých 5000 bylo zraněno.",120,yes,,yes,
69,UDPipe,minulosti,minulost,NOUN,Založila v minulosti mimo jiné i Faltýnkova syna.,12390,yes,,yes,
70,UDPipe,Hill,Hill,PROPN,"Jeho největší životní láskou byla Virginia Hill (nar. Jeho největší zvláštností bylo, že byl poháněn kombinací pístových a proudových motorů.",508,yes,,yes,
71,UDPipe,impulzivita,impulzivita,NOUN,"Máme studii, že již po týdnu bez mobilu v zeleni jsou děti schopny lépe odečíst výraz v tváři, trénuje se tak potřebná empatie i sociální inteligence a klesá impulzivita,"" říká psychiatr.",5,yes,,yes,
72,Stanza,chodíte,chodit,VERB,Většinou se vám do práce vůbec nechce a chodíte tam jen za účelem vydělávání financí.,117,yes,,yes,
73,Stanza,další,další,ADJ,Kdo další byl spoře oděn?,84435,yes,,yes,
74,UDPipe,Bašára,Bašár,PROPN,"Kus kódu na blockchainu se tak dostal do skvìlé spoleènosti Vladimira Putina, Bašára Asada, Islámského státu èi Severní Koreje.",202,yes,,yes,
75,Stanza,pochyb,pochyba,NOUN,"O kvalitách stále mladého kouče proto není pochyb a předpokládá se, že dlouho bez práce nezůstane.",668,yes,,yes,
76,UDPipe,přepravní,přepravní,ADJ,"Jedná se o případy, kdy lidé kyberzločincům uvěří jejich hru na banky, policii nebo přepravní společnosti.",467,yes,,yes,
77,Stanza,Podojil,Podojil,PROPN,"V krkonošských lázních pracuje lékaø Jan Podojil už tøicet let, od roku 2018 je primáøem Vesny.",1,yes,,yes,
78,UDPipe,zazněla,zaznít,VERB,"Koncertem, na němž zazněla díla Antonína Dvořáka a Hectora Berlioze, tuto středu Česká filharmonie v pražském Rudolfinu zahájila 129. sezonu.",523,yes,,yes,
79,Stanza,firmy,firma,NOUN,Návrh na převedení nepotřebné firmy podle něj předložil tehdejší předseda představenstva Zdeněk Kubiska spolu se znaleckým posudkem.,18676,yes,,yes,
80,UDPipe,odepínali,odepínat,VERB,"Při poslechu zní pacientův dech podobně, jako bychom odepínali suchý zip nebo šli po zmrzlém sněhu.",1,yes,,yes,
81,UDPipe,Jacobs,Jacobs,PROPN,"Po koupi filmových práv strávil Arthur P. Jacobs tři roky přesvědčováním filmařů, aby se zapojili do projektu.",54,yes,,yes,
82,Stanza,ovčín,ovčín,NOUN,"V době jejich hospodaření zde pomalu zanikl pivovar, ale byly postaveny velké stodoly, sýpka a ovčín.",34,yes,,yes,
83,Stanza,padni,padnout,INTJ,"Jenže ČR dává občanství padni komu padni, tak možná Pekarka povolá s Černochovou Čechy.",70,no,VERB,yes,
