id,tool,token,lemma,assigned_pos,context,absolute_freq,pos_correct,correct_pos,lemma_correct,correct_lemma
1,Stanza,που,που,PRON,"Αυτό που διαπίστωσαν ωστόσο ήταν ότι ο σταθμός της Καβάλας, ήταν εκτός λειτουργίας.",1197847,yes,,yes,
2,Stanza,25,25,NUM,"Σχεδόν όλα τα Renault 25 που κυκλοφορούν ακόμα και σήμερα, φέρουν το στάνταρ 5-τάχυτο μηχανικό κιβώτιο, επειδή ελάχιστα αυτοκίνητα με αυτόματα κιβώτια ταχυτήτων έχουν διασωθεί.",12837,yes,,yes,
3,Stanza,απαλλάσσοντας,απαλλάσσω,VERB,"Το πρώτο μέτρο του τελευταίου ήταν να περιορίσει την ενδεχόμενη αντίσταση μέσα στο Στρατό, απαλλάσσοντας από τη θέση του τον αρχηγό της Φρουράς του Βουκουραστίου του Γκεόργκε Aργκεσάνου και αντικαθιστώντας τον με το Ντουμίτρου Κοροάμε.",35,yes,,yes,
4,UDPipe,αντιστασιακών,αντιστασιακός,NOUN,Η σπηλιά αυτή την περίοδο της Τουρκοκρατίας και της εθνικής αντίστασης αποτέλεσε κρησφύγετο των υπόδουλων Ελλήνων και των αντιστασιακών.,81,yes,,yes,
5,Stanza,Ζαμπράνο,Ζαμπράνο,X,"Ο Ζαμπράνο δεν είναι άμεσα διαθέσιμος, αφού ακόμη βρίσκεται εκτός Ελλάδας, αλλά στον Ολυμπιακό τον περιμένουν ευελπιστώντας ότι βρήκαν… λαυράκι.",7,no,PROPN,yes,
6,Stanza,475,475,NUM,"Η απόφαση ήταν αποτέλεσμα μέτρων μείωσης του κόστους που ανακοίνωσε η AMC τον Δεκέμβριο του 2022, στα οποία η εταιρεία δήλωσε ότι θα προβεί σε διαγραφές έως και 475 εκατομμυρίων δολαρίων.",71,yes,,yes,
7,Stanza,links,links,X,"Προειδοποιούσαν μάλιστα ότι πολλά από τα μηνύματα-παγίδες προσομοιάζουν σε links από ελληνικά ΜΜΕ, ανάμεσα στα οποία της «Καθημερινής», της «Εφημερίδας των Συντακτών», της εφημερίδας «Πρώτο Θέμα» κ.ά.",33,yes,,yes,
8,UDPipe,του,ο,DET,"Μέσω του επενδυτικού fund της βασιλικής οικογένειας του Κατάρ (οίκος Αλ Θάνι), Mayhoola, απέκτησαν το 100%",2305397,yes,,yes,
9,Stanza,Αποστροφή,αποστροφή,NOUN,Ο Edgar Wright δήλωσε ως επιρροές του την Αποστροφή του Roman Polanski και το Μετά τα Μεσάνυχτα του Nicolas Roeg.,4,yes,,yes,
10,Stanza,ωραίου,ώραιο,NOUN,Λέω συχνά ότι ένας πολιτισμός που ασχολείται με την υπηρέτηση του ωραίου δεν καταρρέει ποτέ.,57,yes,,no,ωραίο
11,UDPipe,είδα,βλέπω,VERB,Τον “Θίασο” τον είδα αφού συνεργάστηκα μαζί του.,4013,yes,,yes,
12,Stanza,Γουέλφοι,Γουέλφος,PROPN,"Οι Γουέι και οι Χαν αλλάζουν πλευρά, συμπαρατασσόμενες με τους Τσάο και εξουδετερώνουν τον Οίκο των Τσι, τελειώνοντας ουσιαστικά την «",12,yes,,yes,
13,Stanza,ταριχεύτηκε,ταριχεύω,VERB,"Ύστερα από απαίτηση του βασιλιά Γεώργιου Β' να του αποδοθούν δημόσιες τιμές, το σώμα του ταριχεύτηκε από γιατρούς και νοσοκόμους του Ερυθρού Σταυρού.",7,yes,,yes,
14,Stanza,ένιωθα,νιώθω,VERB,"Ακούω την κριτική, σέβομαι ότι δεν σας άρεσε ο τρόπος που έκανα τη συνέντευξη, παρόλο που εγώ ένιωθα ότι έκανα τη δουλειά μου θα ομολογήσω, αλλά μπορεί να θέλετε να την κάνω με κάποιο άλλο τρόπο.",930,yes,,yes,
15,UDPipe,κατοίκους,κάτοικος,NOUN,14 κατοίκους.,12102,yes,,yes,
16,Stanza,ευλαβικά,ευλαβικά,ADV,"Ο πρώην πρωθυπουργός έχει την εμπειρία και τη μεταρρυθμιστική κληρονομιά της πράσινης ανάπτυξης, αλλά και ένα κοινό που τον ακολουθεί ευλαβικά.",121,yes,,yes,
17,Stanza,N,N,X,Σόρντο με ακόμη ένα i20 N Rally1 (+1:49.,243,yes,,yes,
18,Stanza,Αλγερία,Αλγερία,PROPN,"Πλέον η πόλη αποτελεί σημαντικό τουριστικό προορισμό στην Αλγερία, κυρίως λόγω των αρχαιολογικών ευρημάτων της Τιπάσα.",386,yes,,yes,
19,Stanza,καταβάλλονταν,καταβάλλω,VERB,"Ο αείμνηστος λογοτέχνης και Ακαδημαϊκός Τάσος Αθανασιάδης, γεννημένος στο Σαλιχλί της Μικράς Ασίας γράφει ότι οι μισθοί των κεμαλικών αξιωματικών, καταβάλλονταν απευθείας από τους μπολσεβίκους!",27,yes,,yes,
20,Stanza,με,με,ADP,"Σχεδόν 300 πλοία που πραγματοποιούν κρουαζιέρα διέρχονται καθημερινά από την πρωτεύουσα, χωρίς να υπολογίζονται οι θαλάσσιες μεταφορές, με σημαντική κίνηση σιτηρών.",1444924,yes,,yes,
21,Stanza,εμφανής,εμφανής,ADJ,"Ξεκινήσαμε λοιπόν δυναμικά, με την διάθεση όλων, αλλά και την όρεξη για δουλειά και… πρωτάθλημα να είναι περισσότερο από εμφανής” τονίζουν στον Ρήγα Φεραίο.",799,yes,,yes,
22,Stanza,"49,30%","49,30%",NUM,"Ο δείκτης κόστους – οργανικών εσόδων βελτιώθηκε σε 47,1% το Α΄ εξάμηνο 2022 από 49,3% ένα χρόνο πριν, ενώ ο δείκτης κόστους-εσόδων μειώθηκε σημαντικά στο 29,5%, λόγω των υψηλών χρηματοοικονομικών κερδών.",17,yes,,yes,
